vessel_id,t,lon,lat,heading,course,speed
1842,1677283903993,26.03314781188965,37.25706481933594,152,152,11
1852,1677284006307,25.891033172607425,37.45866775512695,135,135,10
1842,1677284024006,26.03656005859375,37.25128173828125,154,154,11
1852,1677284085586,25.894649505615234,37.45578384399414,135,135,11
1842,1677284103895,26.038938522338867,37.24748611450195,153,153,11
1852,1677284166390,25.898317337036133,37.45294952392578,134,134,10
1842,1677284283843,26.0442008972168,37.2388801574707,153,153,11
1852,1677284315994,25.905134201049805,37.44746780395508,135,135,11
1841,1677284396060,25.81183242797852,37.44049835205078,301,301,11
1852,1677284465535,25.911949157714844,37.44195175170898,135,135,11
1841,1677284500338,25.805334091186523,37.442832946777344,294,294,11
1842,1677284514609,26.05107879638672,37.22795486450195,153,153,11
1841,1677284696193,25.79800033569336,37.45033264160156,322,322,10
1852,1677284706205,25.923099517822266,37.43313217163086,134,134,11
1842,1677284793112,26.05933380126953,37.21461486816406,153,153,11
1841,1677284816848,25.795000076293945,37.455833435058594,336,336,10
1841,1677284876854,25.793500900268555,37.45849990844727,335,335,10
1852,1677285024708,25.9378662109375,37.421417236328125,134,134,11
1852,1677285126200,25.9424991607666,37.41754913330078,136,136,11
1852,1677285204712,25.94596672058105,37.41451644897461,137,137,11
1852,1677285324746,25.95138359069824,37.409934997558594,136,136,11
1842,1677285482983,26.08089256286621,37.18233489990234,151,151,11
1852,1677285565240,25.962217330932617,37.40053176879883,137,137,11
1852,1677285715756,25.968950271606445,37.39469909667969,137,137,11
1852,1677285845565,25.97468376159668,37.38970184326172,137,137,11
1842,1677286044249,26.098499298095703,37.156341552734375,151,151,11
1852,1677286105874,25.986133575439453,37.37936782836914,138,138,11
1852,1677286256534,25.992700576782227,37.3734016418457,138,138,11
1852,1677286395030,25.99876594543457,37.36800003051758,138,138,11
1851,1677286405839,26.11883354187012,37.29800033569336,293,293,11
1851,1677286525836,26.1113338470459,37.30066680908203,293,293,11
1842,1677286552982,26.113784790039062,37.1326789855957,152,152,11
1852,1677286596350,26.00751686096192,37.36006546020508,138,138,11
1851,1677286646710,26.10383415222168,37.3033332824707,293,293,11
1851,1677286721966,26.099166870117188,37.30500030517578,294,294,11
1852,1677286865464,26.01931571960449,37.349365234375,138,138,11
1842,1677286903142,26.1242733001709,37.11650085449219,152,152,11
1852,1677286945690,26.022850036621094,37.34614944458008,138,138,11
1851,1677286946711,26.084999084472656,37.310001373291016,293,293,11
1852,1677287006215,26.02558326721192,37.343849182128906,136,136,11
1851,1677287080815,26.076499938964844,37.3129997253418,293,293,11
1852,1677287134985,26.031566619873047,37.338966369628906,135,135,11
1852,1677287225395,26.035749435424805,37.33546829223633,136,136,11
1852,1677287285400,26.03849983215332,37.33314895629883,136,136,11
1852,1677287345405,26.04123306274414,37.330867767333984,136,136,11
1852,1677287405407,26.044050216674805,37.32853317260742,136,136,11
1842,1677287443227,26.14036750793457,37.09162139892578,152,152,11
1842,1677287524372,26.142881393432617,37.08793258666992,151,151,11
1852,1677287525403,26.049549102783203,37.323951721191406,136,136,11
1852,1677287605716,26.053300857543945,37.32080078125,136,136,11
1852,1677287846310,26.064599990844727,37.311649322509766,135,135,11
1851,1677287971995,26.020166397094727,37.33433151245117,295,295,12
1852,1677287976608,26.07074928283692,37.30671691894531,135,135,11
1852,1677288046355,26.074050903320312,37.30403518676758,135,135,11
1842,1677288073394,26.15853309631348,37.06251525878906,153,153,11
1842,1677288233835,26.16294288635254,37.05497360229492,154,154,11
1851,1677288361780,25.99683380126953,37.34483337402344,299,299,11
1862,1677288435250,26.27581024169922,36.9052734375,316,316,14
1851,1677288450766,25.99166679382324,37.34749984741211,302,302,11
